user,location,tweet text,tweet date
eraser,Sevilla,BLOCKCHAIN NOW AND TOMORROW ASSESSING. Multidimensional impacts of distributed ledger technologies.… https://t.co/RHNYvpEQzP,2019-12-12 01:00:26
RoshaundaDGreen,"Atlanta, GA",RT @HRCurator: RT @DVPRMND  @kar_saswat  @hrtodayghana35  @ebcrew00   Thx4RT fr @HRCurator: The Evolving Role Of #HR In A #GigEconomy https…,2019-12-12 00:53:56
CXC_AUS,"Australia, The World",10 predictions for the #futureofwork from leaders via @LaddersHQ #flexibleworking #gigeconomy https://t.co/u11PkF7ixW,2019-12-12 00:36:03
GCUCGLOBAL,Next up a GCUC USA in Seattle ,RT @Smallbizlabs: Laws to protect Uber drivers could put freelance journalists out of business: https://t.co/XMwtblgu4c &lt;- yet another arti…,2019-12-12 00:33:27
TheBoydCompany,"Princeton, NJ","Freelancers just one of several industries up in arms over California’s ill-advised employment law.  Here in NJ,  c… https://t.co/ZbBTLXFwvg",2019-12-12 00:16:32
martinhoyes,"California, USA","RT @AndySpence: The infrastructure of how we find work and workers needs to be significantly upgraded from where we are today 

#Blockchain…",2019-12-11 23:55:06
Smallbizlabs,San Francisco,California’s new employment law has boomeranged and is starting to crush freelancers: https://t.co/5bPeUlUAIM  #gigeconomy,2019-12-11 23:51:37
Smallbizlabs,San Francisco,Laws to protect Uber drivers could put freelance journalists out of business: https://t.co/XMwtblgu4c &lt;- yet anothe… https://t.co/MwTEi6eVga,2019-12-11 23:40:11
IndieMusicPod,Worldwide,"RT @DTongSports: 18,800+ Completed Orders on Fiverr!

Check out my gigs at: https://t.co/kjw1ssumR1

#fiverr #entrepreneur #voiceover #digi…",2019-12-11 23:29:55
dtongradio,"Denver, CO","RT @DTongSports: 18,800+ Completed Orders on Fiverr!

Check out my gigs at: https://t.co/kjw1ssumR1

#fiverr #entrepreneur #voiceover #digi…",2019-12-11 23:28:42
ErialbaniaLopez,"Miami, FL","RT @DTongSports: 18,800+ Completed Orders on Fiverr!

Check out my gigs at: https://t.co/kjw1ssumR1

#fiverr #entrepreneur #voiceover #digi…",2019-12-11 23:27:44
WinterParkRadio,"Winter Park, CO","RT @DTongSports: 18,800+ Completed Orders on Fiverr!

Check out my gigs at: https://t.co/kjw1ssumR1

#fiverr #entrepreneur #voiceover #digi…",2019-12-11 23:27:38
ErialbaniaLopez,"Miami, FL","RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 23:21:14
OpenMarketingTV,Amsterdam,"RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 23:21:09
dianemulcahy,Boston MA,@nitashatiku @hashtagmolotov @vdoellgast So true @nitashatiku - those wider issues aren’t specific to the… https://t.co/nqAZ9jgyhm,2019-12-11 23:03:18
cybersec_feeds,Internet,"RT @AnitaMalik: Such incredible energy around growth for our #Phoenix biz ecosystem yesterday. 

Honored to speak at @GlobalChamPHX's Innov…",2019-12-11 23:03:06
ParkerDeweyLLC,"Chicago, IL","Is your team utilizing gig platforms? Do they understand the risks? Join Liane Scult, Sr. Freelance Program Manager… https://t.co/tywMmXVCsX",2019-12-11 22:50:15
Jiseki_Health,,Free AB5 Webinar TOMORROW. If you're affected or (not sure) by the new #AB5 law effective Jan 1 you won't want to m… https://t.co/eSsqelo0w1,2019-12-11 22:47:21
soconcieted97,"Houston,Texas","RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 22:34:20
guzmand,"Brooklyn, NY","RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 22:32:28
rparsonsx,Calgary AB,RT @ChanLRobinson: The “Gig” Picture: One-in-three Canadians have done some kind of informal work in the past five years https://t.co/0Xis2…,2019-12-11 22:30:05
JohannaWenckeb1,Berlin & Frankfurt am Main,"RT @DontGIGUp2: Online the France Case Study Report of the ‘Don’t GIG up!’ project!
This analysis investigates practices meant
to organise…",2019-12-11 22:22:51
TweetPKG,,RT @SR_russell99: When you receive your first Client Satisfaction survey for Solv. We think this says it all ✅ 🙌 #Ten #gamechanger #innovat…,2019-12-11 22:15:38
PaulFEstes,"Seattle, WA","RT @dianemulcahy: Nice synopsis of the ways #HR and #CHROs need to change to  recruit and retain the best independent talent #GigEconomy
ht…",2019-12-11 22:08:15
CJD_Ardent,"Boston, MA","Tomorrow! Don't miss our webinar w/ @VectorVMS on the compelling ""in-house vs. outsourced"" approach for… https://t.co/rRuCMaRruR",2019-12-11 22:01:30
joevecchiorocks,the web,"RT @DTongSports: 18,800+ Completed Orders on Fiverr!

Check out my gigs at: https://t.co/kjw1ssumR1

#fiverr #entrepreneur #voiceover #digi…",2019-12-11 21:58:30
DownloadingDave,Born: Yesterday,"RT @VoidCatGaming: ""the gig economy"" ie ""we know you need three jobs to survive but we'll list it as a feature instead of a bug"" #gigeconom…",2019-12-11 21:54:19
DTongSports,"Denver, CO WorldWide","18,800+ Completed Orders on Fiverr!

Check out my gigs at: https://t.co/kjw1ssumR1

#fiverr #entrepreneur… https://t.co/La2eXaH5hB",2019-12-11 21:51:29
eraser,Sevilla,An insight into the future of blockchain data technology. #Infographic #Infografía https://t.co/WEBphyOuT0… https://t.co/AeL5FAfWe3,2019-12-11 21:40:03
HealthPolicyPal,"Philadelphia, PA",RT @CassidyFish2: When a 64-yo #prostate cancer patient delays treatment so he can complete job training while driving in #GigEconomy....”s…,2019-12-11 21:36:21
GallagherandCo1,"Charlotte, NC",There is a new generation taking over the talent economy and changing the game; and it's no it's not the millennial… https://t.co/x5DxCZKzDf,2019-12-11 21:29:05
KCLSustainable,London,"RT @onnamalou: Economic #Growth or #Degrowth?

Read my latest blog on #SDG8 in which I:

📈 Dive into how economic growth violates other goa…",2019-12-11 21:11:37
mvollmer1,"Munich, Bavaria","RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 21:11:23
BackwoodNash,snap: im_bnash,"RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 21:06:56
AnnaMamalaki,San Francisco-Bay ,"RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 21:06:01
alberto11235813,,"RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 21:04:04
PennMedNews,"Philadelphia, PA",RT @CassidyFish2: When a 64-yo #prostate cancer patient delays treatment so he can complete job training while driving in #GigEconomy....”s…,2019-12-11 21:02:30
brianmecinas,"Tempe, AZ","RT @AnitaMalik: Such incredible energy around growth for our #Phoenix biz ecosystem yesterday. 

Honored to speak at @GlobalChamPHX's Innov…",2019-12-11 21:01:43
MediaLSE,"London, England","RT @srujana_katta: @Clarabel_H, @geoplace and I wrote a blog for @MediaLSE about parties' plans to support the 3 million gig workers in the…",2019-12-11 20:55:56
robertascandro1,,RT @HRCurator: RT @DVPRMND  @kar_saswat  @hrtodayghana35  @ebcrew00   Thx4RT fr @HRCurator: The Evolving Role Of #HR In A #GigEconomy https…,2019-12-11 20:54:54
BsparklyMagical,"Arizona, USA","RT @AnitaMalik: Such incredible energy around growth for our #Phoenix biz ecosystem yesterday. 

Honored to speak at @GlobalChamPHX's Innov…",2019-12-11 20:54:38
AnitaMalik,Everywhere,"Such incredible energy around growth for our #Phoenix biz ecosystem yesterday. 

Honored to speak at @GlobalChamPHX… https://t.co/u8ZJgMh1nv",2019-12-11 20:53:46
ebcrew00,Knokke-Heist   Belgium,RT @HRCurator: RT @DVPRMND  @kar_saswat  @hrtodayghana35  @ebcrew00   Thx4RT fr @HRCurator: The Evolving Role Of #HR In A #GigEconomy https…,2019-12-11 20:50:17
thegreeknyc,NYC ✈️ Miami,"So many ways to make money 📈
#gigeconomy",2019-12-11 20:47:15
fiftieswoman1,,"@Fiken49 @UKLabour @FGGLabour @RossSHouston Song lyrics by the Manics
""if we tolerate this then our children will b… https://t.co/SXQE4cexvd",2019-12-11 20:41:12
hrtodayghana35,,RT @HRCurator: RT @DVPRMND  @kar_saswat  @hrtodayghana35  @ebcrew00   Thx4RT fr @HRCurator: The Evolving Role Of #HR In A #GigEconomy https…,2019-12-11 20:38:24
JamesJava,#LongIsland NY,RT @TamaraMcCleary: The End of the World As We Know It https://t.co/Ui8R7LgPGq by @TamaraMcCleary via @DellTech with insights from @guzmand…,2019-12-11 20:38:01
AgileOneGSS,"Torrance, CA","RT @AgileOneGlobal: The #gigeconomy is taking over the world, and in the United States alone there are more than 16 m contingent workers. Y…",2019-12-11 20:35:19
HRCurator,"St Albans, UK",RT @DVPRMND  @kar_saswat  @hrtodayghana35  @ebcrew00   Thx4RT fr @HRCurator: The Evolving Role Of #HR In A… https://t.co/a6f1P7i6Zi,2019-12-11 20:30:00
SupplyChain2030,,"RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 20:27:16
Mycrojobs,"Münster, Deutschland","💥 Staking and rewarding 💥

Read more about it on our blog:

https://t.co/40SlQu6Pwb

#blockchain #mycro… https://t.co/SMcWEj7Jrk",2019-12-11 20:01:56
RichardHolober,California,Workers in the 21st century #sharecropping economy are organizing for fair treatment and living wages. #GigEconomy https://t.co/2Dk64AaWC6,2019-12-11 19:37:51
lyftdashuber,"California, USA",Doordash STILL SCAMMING Drivers? https://t.co/rkAzTqID1y via @YouTube #DoordashDriver #Doordash #DoordashDelivery… https://t.co/kEsfFedQFh,2019-12-11 19:28:47
edudada,Sevilla ciberespacial,RT @eraser: Blockchain Might Remake Accounting — Tom Hood Discusses Big Data &amp; Blockchain Technology @tomhood Business Learning Institute @…,2019-12-11 19:24:54
eraser,Sevilla,AROUND THE BLOCK | #Video Blockchain. Alberto Gomez @gotoalberto @Bankia https://t.co/NbmwpCOOIT #blockchain… https://t.co/pLZWKR3rR9,2019-12-11 19:20:04
LampsatLocalz,"London, UK","If you want to talk about how you drive experience and leverage the #GigEconomy through #Uberisation, let me know - @localz can help!",2019-12-11 19:14:24
minjiecai,"London, England",RT @BAM_HRM: All we want this Christmas is an extended deadline! So... one more week: ) Submit an abstract by 5pm GMT 18th December for @ba…,2019-12-11 19:10:53
DuckTalesW00H00,,"RT @DuckTalesW00H00: Uber Office Had Separate Bathrooms for Drivers and ‘Employees’: ""This was a mistake and we regret it,"" Uber said.

#Ub…",2019-12-11 19:03:45
ganghutmedia,The global platform economy,"RT @MarketplaceRisk: In this week's blog, our founder @GottschalkJ discusses his approach to risk management for #marketplaces. This read i…",2019-12-11 19:03:44
gignowglobal,,"Ready to get a jump on your talent challenges? 

#GigNow supports #Veterans everyday, not just on #VeteransDay. Ins… https://t.co/9iEuMNXuH6",2019-12-11 18:57:02
S_OBrady,"Ithaca, NY",RT @BAM_HRM: All we want this Christmas is an extended deadline! So... one more week: ) Submit an abstract by 5pm GMT 18th December for @ba…,2019-12-11 18:50:59
geoplace,"listening to something, somewhere...","RT @srujana_katta: @Clarabel_H, @geoplace and I wrote a blog for @MediaLSE about parties' plans to support the 3 million gig workers in the…",2019-12-11 18:50:57
hodderandy,"Birmingham, England",RT @BAM_HRM: All we want this Christmas is an extended deadline! So... one more week: ) Submit an abstract by 5pm GMT 18th December for @ba…,2019-12-11 18:49:42
RandstadUSJobs,"Atlanta, GA",RT @RandstadUSA: How to adapt to the #gigeconomy via @PeopleMatters2 https://t.co/YZFOTIKmik,2019-12-11 18:45:05
BAM_HRM,"London, England",All we want this Christmas is an extended deadline! So... one more week: ) Submit an abstract by 5pm GMT 18th Decem… https://t.co/b2tahDki83,2019-12-11 18:40:35
NormandyIns,Florida,Will your client be responsible if anything happens to an independent contractor on the job?… https://t.co/DyypYPZ8cg,2019-12-11 18:39:47
NCCN,"Plymouth Meeting, PA",RT @CassidyFish2: When a 64-yo #prostate cancer patient delays treatment so he can complete job training while driving in #GigEconomy....”s…,2019-12-11 18:34:22
TNovitz,,RT @huw_dt: Issue 10 of @futures_of_work is now live! Give the politics a rest and enjoy some quality articles on #foodwork #employment #gi…,2019-12-11 18:33:36
CassidyFish2,New Jersey,When a 64-yo #prostate cancer patient delays treatment so he can complete job training while driving in #GigEconomy… https://t.co/ezMoMO0Cdc,2019-12-11 18:32:02
Clarabel_H,"Wellington City, New Zealand","RT @srujana_katta: @Clarabel_H, @geoplace and I wrote a blog for @MediaLSE about parties' plans to support the 3 million gig workers in the…",2019-12-11 18:31:23
meyoumusicboy,"Atlanta, GA","RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 18:31:23
SinCityNewsTime,,"RT @HaroldSinnott: 25 jobs emerging in the #futureofwork
@wef via @MikeQuindazzi #4IR #Industry40 #AI #Robotics #Autonomous #Automation #Gi…",2019-12-11 18:30:34
