user,location,tweet text,tweet date
compagnie__,,"@sage_executive I'm 99FUCKING TAX EVADERS sure that UberEats won't be punished for tax evasion, but I won't order f… https://t.co/ZKAhW6aG0e",2019-12-03 01:22:03
FlsaToday,"San Francisco, CA",RT @natlawreview: ‘ABC Test’ for Independent Contractors Set to Take Effect in California Jan. 1 https://t.co/RNUau7B5FQ @BTLawNews #EmpLaw…,2019-12-03 01:18:42
crybaby79_Ro,,@piece_ofschmidt All this time UberEats has been misleading us and pocketing driver tips. Now they are not collecti… https://t.co/wbRM9fLR6I,2019-12-03 01:02:17
CXC_AUS,"Australia, The World",#HR leaders in the #gigeconomy via @PeopleMatters2 #riskandcompliance https://t.co/Bwi2rTiDPn,2019-12-03 01:02:03
Jones81_Laura,Salem,@BaybeBucket I'm going to stop ordering from UberEats because these greedy fucks are avoiding collecting and paying… https://t.co/ukFAvtFfC8,2019-12-03 01:01:10
natlawreview,"Chicago, IL",‘ABC Test’ for Independent Contractors Set to Take Effect in California Jan. 1 https://t.co/RNUau7B5FQ @BTLawNews #EmpLaw #AB5 #GigEconomy,2019-12-03 00:55:04
ENVOYS__84_p,,@cade_black_ Why do greedy corporations like UberEats think it is fine just to evade paying taxes? They make a litt… https://t.co/br04TKJVoE,2019-12-03 00:52:30
CXCGlobal_CA,"Canada, Global","In this latest eBook from CXC, we look at the most important, high-impact issues of focus – relating specifically t… https://t.co/7WKL9Gov15",2019-12-03 00:50:03
ProtestMusica,Jalisco/Texas & Global,"RT @gigmor: A killer Brooklyn coffee shop is looking for INDIE, SINGER/SONGWRITER &amp; ALTERNATIVE artists. Apply @Gigmor:  https://t.co/S7H8P…",2019-12-03 00:36:13
AharoniBizLaw,California,We're interrupting #CyberMonday to remind you that #AB5 is coming! Learn how it'll affect you &amp; your #smallbusiness… https://t.co/kHXDAKlEsK,2019-12-03 00:28:25
man__1972,"Lebanon, Kansas, USA",@S1NGLEPSYCH0 No more food deliveries from UberEats for me. I'm not going to just stand idly by and pretend like Ub… https://t.co/GdRpYGi4zn,2019-12-03 00:21:10
WNYALF,"Buffalo, NY","RT @jwjnational: #Gigeconomy companies won't pay working people a decent wage, and apparently won't pay fees when they force workers to ent…",2019-12-03 00:16:27
dry_eyed__80,,@Xx_Moneybagss Did you know that UberEats does not pay their sales tax? How are local companies expected to survive… https://t.co/zKixQwJ3My,2019-12-03 00:16:20
drivermanYT,"Los Angeles, CA",I Rejected 30 Grubhub Offers in 1 day https://t.co/04apdB34bl via @YouTube #gigeconomy #deliverydriver,2019-12-03 00:07:20
boina92,Paris,"RT @WorkShopSac: Looking for #virtualwork? Check out these tips on getting into a #remotework job!

https://t.co/HJjyBSO3aQ

#remoteteam #v…",2019-12-03 00:01:48
lopukhin1970,,@vengagirls I hate how fuckheads from UberEats just get away with avoiding paying taxes while we pay them and PAY o… https://t.co/EIC8V8k0vi,2019-12-02 23:56:47
MasterLeadPro,"Minneapolis, MN","RT @WorkShopSac: Looking for #virtualwork? Check out these tips on getting into a #remotework job!

https://t.co/HJjyBSO3aQ

#remoteteam #v…",2019-12-02 23:56:15
blokanpon49,Columbia,@crowndnia No wonder UberEats is earning so much. These assholes are making tons off of us and evading collecting a… https://t.co/rLQokgPsac,2019-12-02 23:47:22
sarahsykeswalsh,"California, USA","RT @WorkShopSac: Looking for #virtualwork? Check out these tips on getting into a #remotework job!

https://t.co/HJjyBSO3aQ

#remoteteam #v…",2019-12-02 23:45:34
simplegptptc,USA,RT @advisory_cloud: Great new article on how AdvisoryCloud is at the forefront of the emerging gig economy #gigeconomy #Advisors #advisoryc…,2019-12-02 23:45:01
cocoa_nhoney,,"RT @MaErickson91_Fa: @cocoa_nhoney DoorDash aren't paying the sales taxes. It might be faster than other food deliveries for now, but these…",2019-12-02 23:38:32
